epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,75547.1,0.92727,0.52883,1.04256,0.91139,0.87359,0.8924,0.63958,0.96328,0.59839,1.10582,0.000247716,0.000247716,0.000247716
88,76116.7,0.90304,0.52548,1.03095,0.91122,0.86897,0.8894,0.63441,0.9714,0.5972,1.113,0.000231213,0.000231213,0.000231213
89,76682.3,0.91139,0.52735,1.04065,0.91448,0.85497,0.88564,0.63663,0.96215,0.60623,1.10762,0.00021471,0.00021471,0.00021471
90,77253.2,0.89735,0.51678,1.02813,0.91455,0.86231,0.89079,0.63948,0.97232,0.59297,1.10932,0.000198206,0.000198206,0.000198206
91,77825.9,0.86746,0.46968,1.00102,0.91377,0.86104,0.88376,0.62528,0.98011,0.60295,1.11872,0.000181703,0.000181703,0.000181703
92,78393.7,0.85886,0.46209,0.99474,0.91483,0.86487,0.8898,0.63331,0.97242,0.59248,1.12362,0.0001652,0.0001652,0.0001652
93,78958.4,0.83983,0.45107,0.98793,0.91311,0.86341,0.88919,0.63719,0.96686,0.59309,1.12045,0.000148696,0.000148696,0.000148696
94,79518.2,0.84047,0.45033,0.99157,0.91305,0.85128,0.88657,0.63379,0.96304,0.60428,1.10991,0.000132193,0.000132193,0.000132193
95,80081.9,0.83929,0.44885,0.98816,0.91605,0.86865,0.8863,0.63553,0.96516,0.59527,1.1183,0.00011569,0.00011569,0.00011569
96,80649.2,0.8363,0.44907,0.98767,0.91569,0.86927,0.88855,0.63741,0.95651,0.59081,1.10896,9.91865e-05,9.91865e-05,9.91865e-05
97,81229.4,0.82586,0.43821,0.9836,0.91952,0.8614,0.88836,0.64082,0.94444,0.59379,1.10378,8.26832e-05,8.26832e-05,8.26832e-05
98,81811.3,0.82083,0.44346,0.98927,0.91806,0.86576,0.89007,0.64176,0.94524,0.59538,1.10327,6.61799e-05,6.61799e-05,6.61799e-05
99,82378.4,0.81658,0.43766,0.98215,0.91778,0.86469,0.89009,0.64516,0.94627,0.60262,1.10723,4.96766e-05,4.96766e-05,4.96766e-05
100,82939.1,0.82029,0.43781,0.99016,0.91403,0.8618,0.88686,0.64192,0.95,0.60327,1.10541,3.31733e-05,3.31733e-05,3.31733e-05
